Uberstrain	Name	Data Source(Accession No.;Sequencing Platform;Sequencing Library;Insert Size;Experiment;Bases;Average Length;Status)	Barcode	Source Niche	Source Type	Source Details	Collection Year	Collection Month	Collection Day	Collection Time	Continent	Country	Region	District	City	Post Code	Latitude	Longitude	Serovar	Subspecies	Disease	Antigenic Formulas	Lab Contact	Phage Type	Comment	Bio Project ID	Project ID	Sample ID	Secondary Sample ID	Date Entered	Release Date	Differences	ST	HC0 (indistinguishable)	HC2	HC5	HC10	HC20	HC50	HC100	HC200	HC400	HC900 (ceBG)	HC2000 (Super-lineage)	HC2600	HC2850 (subsp.)
SAL_BB0864AA	OLF-FSR1-ST-44	SRR6745644;ILLUMINA;Paired;;SRX3718330;;;SRA,SRR6745646;ILLUMINA;Paired;;SRX3718328;;;SRA,SRR6745643;ILLUMINA;Paired;;SRX3718331;;;SRA	SAL_BB0864AA	Wild Animal	Avian	pigeon					North America	Canada	British Columbia						Typhimurium	I			Canadian Food Inspection Agency			PRJNA434296	SRP133021	SAMN08469601	SRS2976663	2019-11-18	2019-03-16	NaN	215691	215691	215691	215691	215691	215613	215613	5220	5220	2	2	2	2	2
SAL_BB0865AA	OLF-FSR1-STCopenhagen-49	SRR6745656;ILLUMINA;Paired;;SRX3718318;;;SRA,SRR6745647;ILLUMINA;Paired;;SRX3718327;;;SRA	SAL_BB0865AA	Wild Animal	Avian	Pigeon					North America	Canada	British Columbia						Copenhagen	I			Canadian Food Inspection Agency			PRJNA434296	SRP133021	SAMN08470275	SRS2976657	2019-11-18	2019-03-16	NaN	215627	215627	215627	215627	215627	215613	215613	5220	5220	2	2	2	2	2
SAL_BB0866AA	OLF-FSR1-STCopenhagen-53	SRR6745650;ILLUMINA;Paired;;SRX3718324;;;SRA,SRR6745649;ILLUMINA;Paired;;SRX3718325;;;SRA	SAL_BB0866AA	Wild Animal	Avian	Pigeon					North America	Canada	Ontario						Copenhagen	I			Canadian Food Inspection Agency			PRJNA434296	SRP133021	SAMN08470292	SRS2976661	2019-11-18	2019-03-16	NaN	215609	215609	215608	215608	215608	15514	5009	5009	5009	2	2	2	2	2
SAL_BB0867AA	OLF-FSR1-STCopenhagen-52	SRR6745651;ILLUMINA;Paired;;SRX3718323;;;SRA,SRR6745652;ILLUMINA;Paired;;SRX3718322;;;SRA	SAL_BB0867AA	Wild Animal	Avian	Pigeon					North America	Canada	Ontario						Copenhagen	I			Canadian Food Inspection Agency			PRJNA434296	SRP133021	SAMN08470290	SRS2976660	2019-11-18	2019-03-16	NaN	215615	215615	215615	215615	215615	14951	9874	5220	5220	2	2	2	2	2
SAL_BB0868AA	OLF-FSR1-STCopenhagen-51	SRR6745654;ILLUMINA;Paired;;SRX3718320;;;SRA,SRR6745653;ILLUMINA;Paired;;SRX3718321;;;SRA	SAL_BB0868AA	Wild Animal	Avian	Pigeon					North America	Canada	Ontario						Copenhagen	I			Canadian Food Inspection Agency			PRJNA434296	SRP133021	SAMN08470291	SRS2976659	2019-11-18	2019-03-16	NaN	215577	215577	215577	215577	215527	104474	5009	5009	5009	2	2	2	2	2
SAL_BB0869AA	OLF-FSR1-STCopenhagen-50	SRR6745655;ILLUMINA;Paired;;SRX3718319;;;SRA	SAL_BB0869AA	Wild Animal	Avian	Pigeon					North America	Canada	Ontario						Copenhagen	I			Canadian Food Inspection Agency			PRJNA434296	SRP133021	SAMN08470288	SRS2976658	2019-11-18	2019-03-16	NaN	215610	215610	215608	215608	215608	15514	5009	5009	5009	2	2	2	2	2
SAL_BB0870AA	OLF-FSR1-STCopenhagen-55	SRR6745658;ILLUMINA;Paired;;SRX3718316;;;SRA,SRR6745657;ILLUMINA;Paired;;SRX3718317;;;SRA	SAL_BB0870AA	Wild Animal	Avian	Pigeon					North America	Canada	British Columbia						Copenhagen	I			Canadian Food Inspection Agency			PRJNA434296	SRP133021	SAMN08470424	SRS2976656	2019-11-18	2019-03-16	NaN	215692	215692	215692	215692	215612	215612	9874	5220	5220	2	2	2	2	2
SAL_CB4060AA	PNUSAS136242	SRR11185175;ILLUMINA;Paired;;SRX7805653;;;SRA	SAL_CB4060AA	Livestock	Bovine	beef; liver bovine	2019	12	10		North America	Canada	Alberta										PulseNet Next Generation Subtyping Methods Unit			PRJNA284276	SRP059203	SAMN14212118	SRS6218858	2020-02-27	2020-02-26	NaN	226341	226341	226341	226341	226341	25	25	25	25	25	25	12	2	2
SAL_CB4236AA	PNCS009777	GCF_009756455;Complete Genome;;;;;;Complete Genome,SRR11194321;ILLUMINA;Paired;;SRX7814357;;;SRA	SAL_CB4236AA	Human	Human	Homo sapiens; Age: 16 Years; male; stool	2009	6	11		North America	Canada	Quebec				46.81	-71.21	4,[5],12:I:-	I			Public Health Agency of Canada			PRJNA522746	SRP250949	SAMN10953951	SRS6226397	2020-02-28	2020-02-27	NaN	226432	226432	226432	53846	53846	2	2	2	2	2	2	2	2	2
SAL_CB4237AA	PNCS014854	GCF_009756515;Complete Genome;;;;;;Complete Genome,SRR11215570;OXFORD_NANOPORE;Single;;SRX7827944;;;SRA,SRR11194316;ILLUMINA;Paired;;SRX7814356;;;SRA	SAL_CB4237AA	Human	Human	Homo sapiens; Age: 0; stool	2009	8	20		North America	Canada	Manitoba				49.89	-97.13	4,[5],12:I:-	I			Public Health Agency of Canada			PRJNA522746	SRP250949	SAMN10953952	SRS6226396	2020-02-28	2020-02-27	NaN	226434	226434	226434	80129	47880	48	48	48	2	2	2	2	2	2
SAL_CB4239AA	PNCS015054	SRR11215569;OXFORD_NANOPORE;Single;;SRX7827945;;;SRA,GCF_009756555;Complete Genome;;;;;;Complete Genome,SRR11194318;ILLUMINA;Paired;;SRX7814354;;;SRA	SAL_CB4239AA	Human	Human	Homo sapiens; Age: 1 Year; female; stool	2010	12	23		North America	Canada	Manitoba				49.89	-97.13	4,[5],12:I:-	I			Public Health Agency of Canada			PRJNA522746	SRP250949	SAMN10953953	SRS6226394	2020-02-28	2020-02-27	NaN	226408	226408	53945	2302	2302	48	48	48	2	2	2	2	2	2
SAL_CB4240AA	PNCS009991	SRR11194319;ILLUMINA;Paired;;SRX7814353;;;SRA,GCF_009756605;Complete Genome;;;;;;Complete Genome	SAL_CB4240AA	Human	Human	Homo sapiens; Age: 22 Years; male; stool	2012	6	22		North America	Canada	Quebec				46.81	-71.21	4,[5],12:I:-	I			Public Health Agency of Canada			PRJNA522746	SRP250949	SAMN10953955	SRS6226393	2020-02-28	2020-02-27	NaN	232073	54292	54292	54292	2	2	2	2	2	2	2	2	2	2
SAL_CB5496AA	OLF-FSR1_WB_Gull_ST-29	SRR11252607;OXFORD_NANOPORE;Single;;SRX7862699;;;SRA,SRR11252621;ILLUMINA;Paired;;SRX7862685;;;SRA	SAL_CB5496AA	Wild Animal	Avian	Gull					North America	Canada	Saskatchewan						Typhimurium	I			Canadian Food Inspection Agency			PRJNA605433	SRP251885	SAMN14088118	SRS6271498	2020-03-07	2020-03-06	NaN	227446	227446	227446	227446	36099	5008	1950	1547	1400	2	2	2	2	2
SAL_CB5497AA	OLF_FSR1_WB_Finch_ST-13	SRR11252622;ILLUMINA;Paired;;SRX7862684;;;SRA,SRR11252608;OXFORD_NANOPORE;Single;;SRX7862698;;;SRA,GCF_012530335;Complete Genome;;;;;;Complete Genome	SAL_CB5497AA	Wild Animal	Avian	Finch					North America	Canada	British Columbia						Typhimurium	I			Canadian Food Inspection Agency			PRJNA605433	SRP251885	SAMN14088117	SRS6271497	2020-03-07	2020-03-06	NaN	232130	232130	170121	170121	170121	170121	13282	377	377	2	2	2	2	2
SAL_CB5498AA	OLF-FSR1_WB_Quail_SW-70	SRR11252609;ILLUMINA;Paired;;SRX7862697;;;SRA,SRR11252615;OXFORD_NANOPORE;Single;;SRX7862691;;;SRA	SAL_CB5498AA	Wild Animal	Avian	Quail					North America	Canada	British Columbia						Worthington	I			Canadian Food Inspection Agency			PRJNA605433	SRP251885	SAMN14088124	SRS6271504	2020-03-07	2020-03-06	NaN	227449	227449	227449	227449	19840	35	35	35	35	35	35	35	35	2
SAL_CB5500AA	OLF-FSR1_WB_Sparrow_ST-87	SRR11252617;OXFORD_NANOPORE;Single;;SRX7862689;;;SRA,SRR11252611;ILLUMINA;Paired;;SRX7862695;;;SRA	SAL_CB5500AA	Wild Animal	Avian	Sparrow					North America	Canada	Newfoundland and Labrador						Typhimurium	I			Canadian Food Inspection Agency			PRJNA605433	SRP251885	SAMN14088122	SRS6271502	2020-03-07	2020-03-06	NaN	227451	227451	227451	227451	227451	13910	377	377	377	2	2	2	2	2
SAL_CB5501AA	OLF-FSR1_WB_Junco_ST-35	SRR11252618;OXFORD_NANOPORE;Single;;SRX7862688;;;SRA,SRR11252612;ILLUMINA;Paired;;SRX7862694;;;SRA	SAL_CB5501AA	Wild Animal	ND/Others	Junco					North America	Canada	British Columbia						Typhimurium	I			Canadian Food Inspection Agency			PRJNA605433	SRP251885	SAMN14088121	SRS6271501	2020-03-07	2020-03-06	NaN	227450	227450	227450	227450	227450	227450	17288	377	377	2	2	2	2	2
SAL_CB5502AA	OLF-FSR1_WB_Hawk_ST-33	SRR11252619;OXFORD_NANOPORE;Single;;SRX7862687;;;SRA,GCF_012530215;Complete Genome;;;;;;Complete Genome,SRR11252613;ILLUMINA;Paired;;SRX7862693;;;SRA	SAL_CB5502AA	Wild Animal	Avian	Hawk					North America	Canada	Ontario						Typhimurium	I			Canadian Food Inspection Agency			PRJNA605433	SRP251885	SAMN14088120	SRS6271500	2020-03-07	2020-03-06	NaN	232120	232120	232120	232120	232120	232120	13282	377	377	2	2	2	2	2
SAL_CB5503AA	OLF-FSR1_WB_Gull_ST-32	SRR11252614;ILLUMINA;Paired;;SRX7862692;;;SRA,SRR11252620;OXFORD_NANOPORE;Single;;SRX7862686;;;SRA	SAL_CB5503AA	Wild Animal	Avian	Gull					North America	Canada	Ontario						Typhimurium	I			Canadian Food Inspection Agency			PRJNA605433	SRP251885	SAMN14088119	SRS6271499	2020-03-07	2020-03-06	NaN	227459	227459	227459	65922	65922	1950	1950	1547	1400	2	2	2	2	2
SAL_CB6978AA	SL1344	SRR11362884;ILLUMINA;Paired;;SRX7964306;;;SRA	SAL_CB6978AA	Laboratory	Laboratory	Bacterial liquid culture	2019				North America	Canada	Ontario	Hamilton			43.26	-79.91	Typhimurium	I			McMaster University			PRJNA613819	SRP253559	SAMN14420221	SRS6350226	2020-03-23	2020-03-21	NaN	228573	228573	228573	228573	228573	228573	1585	158	2	2	2	2	2	2
SAL_DB2352AA	1931	SRR11823165;ILLUMINA;Paired;;SRX8373860;;;SRA	SAL_DB2352AA	Food	ND/Others	Chocolate	1997	7				Canada	Quebec	Longueuil (agglomeration)	Longueuil				Canada	I			Institut de Biologie Integrative et des Systemes			PRJNA634019	SRP262570	SAMN14979444	SRS6689024	2020-05-22	2020-05-21	NaN	233120	233120	233120	233120	233120	233120	129844	129844	129844	43068	43068	43068	2	2
SAL_DB2354AA	SA20072173	SRR11823167;ILLUMINA;Paired;;SRX8373858;;;SRA	SAL_DB2354AA	Livestock	Swine	Porcine; Cecal content	2007	1				Canada	Nova Scotia						Havana	I			Institut de Biologie Integrative et des Systemes			PRJNA634019	SRP262570	SAMN14979516	SRS6689022	2020-05-22	2020-05-21	NaN	233129	233129	233129	233129	233129	233129	790	790	790	790	790	790	790	2
SAL_DB2355AA	22C2	SRR11823168;ILLUMINA;Paired;;SRX8373857;;;SRA	SAL_DB2355AA	Environment	Water/River	Laurel Creek	1905	6				Canada	Ontario						Berta	I			Institut de Biologie Integrative et des Systemes			PRJNA634019	SRP262570	SAMN14979515	SRS6689021	2020-05-22	2020-05-21	NaN	233124	233124	233124	233124	233124	32673	25266	25266	25266	25266	25266	25266	25266	2
SAL_DB2356AA	2406	SRR11823169;ILLUMINA;Paired;;SRX8373856;;;SRA	SAL_DB2356AA				1989	8				Canada	British Columbia	Metro Vancouver Regional District	Vancouver				Broughton	I			Institut de Biologie Integrative et des Systemes			PRJNA634019	SRP262570	SAMN14979443	SRS6689020	2020-05-22	2020-05-21	NaN	233127	233127	233127	233127	233127	233127	233127	233127	233127	233127	233127	233127	233127	2
SAL_DB2367AA	190	SRR11823180;ILLUMINA;Paired;;SRX8373845;;;SRA	SAL_DB2367AA	Aquatic Animal	Shellfish	Shrimp	1989	4				Canada	Ontario	Toronto					Bergen	I			Institut de Biologie Integrative et des Systemes			PRJNA634019	SRP262570	SAMN14979442	SRS6689009	2020-05-22	2020-05-21	NaN	233130	233130	233130	233130	233130	233130	39683	39683	39683	39683	39683	39683	8198	2
SAL_DB2368AA	2773	SRR11823181;ILLUMINA;Paired;;SRX8373844;;;SRA	SAL_DB2368AA	Food	ND/Others	Egg Liq frozen albumin	1984	5				Canada	Ontario	Ottawa					Cerro	I			Institut de Biologie Integrative et des Systemes			PRJNA634019	SRP262570	SAMN14979504	SRS6689008	2020-05-22	2020-05-21	NaN	233025	233025	233025	233025	233025	17249	996	56	56	56	56	40	10	2
SAL_DB2369AA	37 S361	SRR11823182;ILLUMINA;Paired;;SRX8373843;;;SRA	SAL_DB2369AA	Livestock	Bovine	Beef; roast	1984	10	1		North America	Canada	Ontario	Ottawa					Adelaide	I			Institut de Biologie Integrative et des Systemes			PRJNA634019	SRP262570	SAMN14979503	SRS6689007	2020-05-22	2020-05-21	NaN	233126	233126	233126	233126	233126	233126	233126	10	10	10	10	10	10	2
SAL_DB2370AA	2882	SRR11823183;ILLUMINA;Paired;;SRX8373842;;;SRA	SAL_DB2370AA	Food	Plant	Spices-Corriander	1992	10				Canada	Ontario	Ottawa					Gaminara	I			Institut de Biologie Integrative et des Systemes			PRJNA634019	SRP262570	SAMN14979502	SRS6689006	2020-05-22	2020-05-21	NaN	233026	233026	233026	233026	233026	233026	47581	19859	19859	6885	468	468	2	2
SAL_DB2371AA	2431	SRR11823184;ILLUMINA;Paired;;SRX8373841;;;SRA	SAL_DB2371AA	Poultry	Poultry	Turkey	1989	8				Canada	British Columbia	Metro Vancouver Regional District	Vancouver				Kottbus	I			Institut de Biologie Integrative et des Systemes			PRJNA634019	SRP262570	SAMN14979501	SRS6689005	2020-05-22	2020-05-21	NaN	233027	233027	233027	233027	233027	233027	124934	124934	124934	472	472	472	2	2
SAL_DB2372AA	7	SRR11823185;ILLUMINA;Paired;;SRX8373840;;;SRA	SAL_DB2372AA	Food	Dairy	cheese	1994	10				Canada	Ontario	Ottawa					Berta	I			Institut de Biologie Integrative et des Systemes			PRJNA634019	SRP262570	SAMN14979500	SRS6689004	2020-05-22	2020-05-21	NaN	233028	233028	233028	233028	233028	125	125	125	125	125	125	125	2	2
SAL_DB2373AA	11	SRR11823186;ILLUMINA;Paired;;SRX8373839;;;SRA	SAL_DB2373AA	Food	Dairy	goat cheese	1995	5				Canada	Ontario	Ottawa					Bredeney	I			Institut de Biologie Integrative et des Systemes			PRJNA634019	SRP262570	SAMN14979499	SRS6689003	2020-05-22	2020-05-21	NaN	233029	233029	233029	233029	233029	233029	33376	33376	33376	31544	24937	54	2	2
SAL_DB2374AA	1938	SRR11823187;ILLUMINA;Paired;;SRX8373838;;;SRA	SAL_DB2374AA	Environment	Plant	Cocoa; beans	1995	2	1		North America	Canada	Ontario	Ottawa					Ohio	I			Institut de Biologie Integrative et des Systemes			PRJNA634019	SRP262570	SAMN14979498	SRS6689002	2020-05-22	2020-05-21	NaN	233030	233030	233030	233030	233030	233030	621	621	621	621	621	621	2	2
SAL_DB2376AA	43	SRR11823189;ILLUMINA;Paired;;SRX8373836;;;SRA	SAL_DB2376AA	Livestock	Bovine	Beef; ground	1997	7				Canada	Ontario		Guelph				Uganda	I			Institut de Biologie Integrative et des Systemes			PRJNA634019	SRP262570	SAMN14979496	SRS6689000	2020-05-22	2020-05-21	NaN	233032	233032	233032	98732	3236	276	276	276	276	276	276	276	2	2
SAL_DB2377AA	1007	SRR11823190;ILLUMINA;Paired;;SRX8373835;;;SRA	SAL_DB2377AA	Poultry	Poultry	Chicken; livers	1995	1				Canada	Ontario	Ottawa					Kiambu	I			Institut de Biologie Integrative et des Systemes			PRJNA634019	SRP262570	SAMN14979495	SRS6688999	2020-05-22	2020-05-21	NaN	233033	233033	233033	233033	233033	1016	1016	1016	1016	1016	1016	1016	10	2
SAL_DB2378AA	1678	SRR11823191;ILLUMINA;Paired;;SRX8373834;;;SRA	SAL_DB2378AA	Animal Feed	Unspecified Meat	animal feed	1999	5				Canada	Ontario	Ottawa					Banana	I			Institut de Biologie Integrative et des Systemes			PRJNA634019	SRP262570	SAMN14979441	SRS6688998	2020-05-22	2020-05-21	NaN	233034	233034	233034	233034	233034	233034	21574	21574	21574	21574	21574	21574	15	2
SAL_DB2379AA	38	SRR11823192;ILLUMINA;Paired;;SRX8373833;;;SRA	SAL_DB2379AA	Livestock	Bovine	Beef	1989	8				Canada	British Columbia	Metro Vancouver Regional District	Vancouver				Bovismorbificans	I			Institut de Biologie Integrative et des Systemes			PRJNA634019	SRP262570	SAMN14979494	SRS6688997	2020-05-22	2020-05-21	NaN	233035	233035	233035	233035	233035	233035	499	499	499	499	214	214	2	2
SAL_DB2380AA	2259	SRR11823193;ILLUMINA;Paired;;SRX8373832;;;SRA	SAL_DB2380AA	Animal Feed	Unspecified Meat	Animal feed-meat and bone meal	1988	12				Canada	Ontario		Guelph				Kentucky	I			Institut de Biologie Integrative et des Systemes			PRJNA634019	SRP262570	SAMN14979493	SRS6688996	2020-05-22	2020-05-21	NaN	233036	233036	233036	233036	44279	2988	2829	528	528	528	528	528	528	2
SAL_DB2381AA	2874	SRR11823194;ILLUMINA;Paired;;SRX8373831;;;SRA	SAL_DB2381AA	Food	Plant	pasta						Canada	Ontario	Ottawa					Mbandaka	I			Institut de Biologie Integrative et des Systemes			PRJNA634019	SRP262570	SAMN14979492	SRS6688995	2020-05-22	2020-05-21	NaN	233037	233037	233037	233037	233037	1469	4	4	4	4	4	4	2	2
SAL_DB2382AA	298 S229	SRR11823195;ILLUMINA;Paired;;SRX8373830;;;SRA	SAL_DB2382AA	Livestock	Swine	Pork; muscle	1988	7	1		North America	Canada	Ontario		Guelph				Derby	I			Institut de Biologie Integrative et des Systemes			PRJNA634019	SRP262570	SAMN14979491	SRS6688994	2020-05-22	2020-05-21	NaN	233038	233038	233038	233038	233038	233038	3	3	3	3	3	3	2	2
SAL_DB2383AA	2512	SRR11823196;ILLUMINA;Paired;;SRX8373829;;;SRA	SAL_DB2383AA	Poultry	Poultry	Chicken; rinse						Canada	Ontario	Ottawa					Hadar	I			Institut de Biologie Integrative et des Systemes			PRJNA634019	SRP262570	SAMN14979490	SRS6688993	2020-05-22	2020-05-21	NaN	233039	233039	233039	233039	233039	159	159	159	159	159	159	17	2	2
SAL_DB2384AA	1997	SRR11823197;ILLUMINA;Paired;;SRX8373828;;;SRA	SAL_DB2384AA	Environment	Plant	Spices Black pepper	1994	8				Canada	Ontario	Ottawa					Stanley	I			Institut de Biologie Integrative et des Systemes			PRJNA634019	SRP262570	SAMN14979489	SRS6688992	2020-05-22	2020-05-21	NaN	233041	233041	233041	233041	233041	53624	1366	211	211	211	211	211	2	2
SAL_DB2385AA	270	SRR11823198;ILLUMINA;Paired;;SRX8373827;;;SRA	SAL_DB2385AA	Food	Avian	Egg liquid- Whole	1984	6				Canada	Ontario	Ottawa					Braenderup	I			Institut de Biologie Integrative et des Systemes			PRJNA634019	SRP262570	SAMN14979488	SRS6688991	2020-05-22	2020-05-21	NaN	233040	233040	233040	233040	233040	185	185	185	185	185	185	185	2	2
SAL_DB2388AA	WLDB-355788863	SRR11823201;ILLUMINA;Paired;;SRX8373824;;;SRA	SAL_DB2388AA				2015	9				Canada	Quebec	Quebec (Agglomeration)	Quebec City								Institut de Biologie Integrative et des Systemes			PRJNA634019	SRP262570	SAMN14979485	SRS6688988	2020-05-22	2020-05-21	NaN	233053	233053	16835	16835	16835	16835	16835	136	136	136	136	136	2	2
SAL_DB2389AA	194	SRR11823202;ILLUMINA;Paired;;SRX8373823;;;SRA	SAL_DB2389AA	Aquatic Animal	Shellfish	Shrimp	1989	4				Canada	Ontario	Toronto					Ball	I			Institut de Biologie Integrative et des Systemes			PRJNA634019	SRP262570	SAMN14979440	SRS6688987	2020-05-22	2020-05-21	NaN	233047	233047	233047	233047	233047	233047	233047	233047	233047	233047	233047	7027	2	2
SAL_DB2392AA	2649	SRR11823205;ILLUMINA;Paired;;SRX8373820;;;SRA	SAL_DB2392AA	Aquatic Animal	Shellfish	Shrimp	1984	3	1		North America	Canada	Ontario	Ottawa					London	I			Institut de Biologie Integrative et des Systemes			PRJNA634019	SRP262570	SAMN14979482	SRS6688984	2020-05-22	2020-05-21	NaN	233153	233153	233153	233153	233153	233153	233153	233153	37	37	37	37	2	2
SAL_DB2393AA	2528	SRR11823206;ILLUMINA;Paired;;SRX8373819;;;SRA	SAL_DB2393AA	Environment	Plant	Cantaloupe						Canada	Ontario	Ottawa					Liverpool	I			Institut de Biologie Integrative et des Systemes			PRJNA634019	SRP262570	SAMN14979481	SRS6688983	2020-05-22	2020-05-21	NaN	233043	233043	233043	233043	233043	68	68	68	68	68	68	68	68	2
SAL_DB2394AA	2554	SRR11823207;ILLUMINA;Paired;;SRX8373818;;;SRA	SAL_DB2394AA	Food	Plant	Sesame; tahini						Canada	Ontario	Ottawa					Senftenberg	I			Institut de Biologie Integrative et des Systemes			PRJNA634019	SRP262570	SAMN14979480	SRS6688982	2020-05-22	2020-05-21	NaN	233154	233154	233154	233154	233154	233154	14741	673	673	673	673	673	28	2
SAL_DB2395AA	2547	SRR11823208;ILLUMINA;Paired;;SRX8373817;;;SRA	SAL_DB2395AA	Food	Plant	Sesame; Sesame- Halva & Pistachio						Canada	Ontario	Ottawa					Montevideo	I			Institut de Biologie Integrative et des Systemes			PRJNA634019	SRP262570	SAMN14979479	SRS6688981	2020-05-22	2020-05-21	NaN	233155	233155	233155	233155	233155	233155	73	73	73	73	73	16	2	2
SAL_DB2397AA	SA20102287	SRR11823210;ILLUMINA;Paired;;SRX8373815;;;SRA	SAL_DB2397AA	Aquatic Animal	Shellfish	Shrimp	2010	5				Canada	New Brunswick						Paratyphi	I			Institut de Biologie Integrative et des Systemes			PRJNA634019	SRP262570	SAMN14979477	SRS6688979	2020-05-22	2020-05-21	NaN	233157	233157	233157	170175	170175	170175	22230	13461	155	155	155	155	2	2
SAL_DB2399AA	1300	SRR11823212;ILLUMINA;Paired;;SRX8373813;;;SRA	SAL_DB2399AA	Poultry	Poultry	Chicken; heart						Canada	Ontario	Ottawa					Blockley	I			Institut de Biologie Integrative et des Systemes			PRJNA634019	SRP262570	SAMN14979475	SRS6688977	2020-05-22	2020-05-21	NaN	233159	233159	233159	17335	17335	1345	1345	591	591	591	591	591	2	2
SAL_DB2400AA	1684	SRR11823213;ILLUMINA;Paired;;SRX8373812;;;SRA	SAL_DB2400AA	Animal Feed	Unspecified Meat	animal feed	1999	5				Canada	Ontario	Ottawa					Amager	I			Institut de Biologie Integrative et des Systemes			PRJNA634019	SRP262570	SAMN14979439	SRS6688976	2020-05-22	2020-05-21	NaN	233160	233160	233160	233160	233160	233160	1458	1458	1458	1458	1458	1458	2	2
SAL_DB2403AA	119	SRR11823216;ILLUMINA;Paired;;SRX8373809;;;SRA	SAL_DB2403AA	Aquatic Animal	Shellfish	Clams	1989	4				Canada	British Columbia	Metro Vancouver Regional District	Burnaby				Brandenburg	I			Institut de Biologie Integrative et des Systemes			PRJNA634019	SRP262570	SAMN14979472	SRS6688973	2020-05-22	2020-05-21	NaN	233163	233163	233163	233163	233163	233163	233163	193559	193559	16158	16158	16158	2	2
SAL_DB2404AA	2304	SRR11823217;ILLUMINA;Paired;;SRX8373808;;;SRA	SAL_DB2404AA	Aquatic Animal	Shellfish	Shrimp	1989	2				Canada	Ontario	Toronto					Virchow	I			Institut de Biologie Integrative et des Systemes			PRJNA634019	SRP262570	SAMN14979471	SRS6688972	2020-05-22	2020-05-21	NaN	233164	233164	233164	233164	233164	233164	1764	1764	1764	716	716	716	2	2
SAL_DB2406AA	GC117800	SRR11823219;ILLUMINA;Paired;;SRX8373806;;;SRA	SAL_DB2406AA	Human	Human	Homo sapiens; feces	2012	5				Canada	Quebec	Quebec (Agglomeration)	Quebec City				Heidelberg	I			Institut de Biologie Integrative et des Systemes			PRJNA634019	SRP262570	SAMN14979469	SRS6688970	2020-05-22	2020-05-21	NaN	8100	8100	3265	930	930	558	536	536	536	536	536	2	2	2
SAL_DB2407AA	2303	SRR11823220;ILLUMINA;Paired;;SRX8373805;;;SRA	SAL_DB2407AA	Aquatic Animal	Shellfish	Shrimp	1989	2				Canada	Ontario	Toronto					Weston	I			Institut de Biologie Integrative et des Systemes			PRJNA634019	SRP262570	SAMN14979468	SRS6688969	2020-05-22	2020-05-21	NaN	233045	233045	233045	233045	233045	233045	233045	233045	233045	73382	73382	73382	2	2
SAL_DB2408AA	2145	SRR11823221;ILLUMINA;Paired;;SRX8373804;;;SRA	SAL_DB2408AA	Animal Feed	Unspecified Meat	animal feed	1988	6				Canada	Manitoba	Winnipeg (city)	Winnipeg				Senftenberg	I			Institut de Biologie Integrative et des Systemes			PRJNA634019	SRP262570	SAMN14979467	SRS6688968	2020-05-22	2020-05-21	NaN	233050	233050	233050	233050	233050	233050	233050	5769	5769	5769	5769	5769	2	2
SAL_DB2409AA	136	SRR11823222;ILLUMINA;Paired;;SRX8373803;;;SRA	SAL_DB2409AA	Aquatic Animal	Shellfish	Cuttlefish	1996	4				Canada	Ontario	Peel Region	Mississauga				Wentworth	I			Institut de Biologie Integrative et des Systemes			PRJNA634019	SRP262570	SAMN14979466	SRS6688967	2020-05-22	2020-05-21	NaN	233049	233049	233049	233049	233049	233049	5658	5658	5658	5658	5658	242	2	2
SAL_DB2410AA	2300	SRR11823223;ILLUMINA;Paired;;SRX8373802;;;SRA	SAL_DB2410AA	Aquatic Animal	Shellfish	Shrimp	1989	2				Canada	Ontario	Toronto					Tyresoe	I			Institut de Biologie Integrative et des Systemes			PRJNA634019	SRP262570	SAMN14979465	SRS6688966	2020-05-22	2020-05-21	NaN	233046	233046	233046	233046	233046	233046	233046	233046	233046	233046	233046	85961	2	2
SAL_DB2412AA	2675	SRR11823225;ILLUMINA;Paired;;SRX8373800;;;SRA	SAL_DB2412AA	Livestock	Bovine	Ox	1984	3				Canada	Alberta	Edmonton					Taksony	I			Institut de Biologie Integrative et des Systemes			PRJNA634019	SRP262570	SAMN14979464	SRS6688964	2020-05-22	2020-05-21	NaN	233051	233051	233051	233051	233051	233051	18891	18891	18891	18891	18891	18891	18891	2
SAL_DB2413AA	210	SRR11823226;ILLUMINA;Paired;;SRX8373799;;;SRA	SAL_DB2413AA	Aquatic Animal	Fish	Fish	1996	5				Canada	Ontario	Ottawa					Taiping	I			Institut de Biologie Integrative et des Systemes			PRJNA634019	SRP262570	SAMN14979463	SRS6688963	2020-05-22	2020-05-21	NaN	233058	233058	233058	233058	233058	191904	191904	191904	191904	191904	191904	191904	1273	2
SAL_DB2414AA	1493	SRR11823227;ILLUMINA;Paired;;SRX8373798;;;SRA	SAL_DB2414AA	Animal Feed	Unspecified Meat	animal feed	2001	4				Canada	Ontario	Ottawa					Tado	I			Institut de Biologie Integrative et des Systemes			PRJNA634019	SRP262570	SAMN14979462	SRS6688962	2020-05-22	2020-05-21	NaN	233060	233060	233060	233060	233060	233060	233060	233060	233060	233060	233060	233060	233060	2
